,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_predictor__regressor,param_preprocess__func_transf__func__func,param_preprocess__num__poly__degree,param_predictor__func,param_predictor__inverse_func,param_predictor__regressor__alpha,param_predictor__regressor__learning_rate,param_preprocess__num__scaler,param_predictor__regressor__min_samples_split,param_predictor,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11,0.10134716033935547,0.012103680947343928,0.02285323143005371,0.0012688495537718288,Ridge(),<ufunc 'sqrt'>,2,,,0.1,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 0.1, 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 2}",-0.2882185198630529,-1802.3370834833074,-0.22597004552299027,-25.333613058134592,0.3215299945008342,-365.57267102246544,718.4488990834502,37,0.7435483863108155,0.7398687894461,0.7225744342151772,0.7129670149939373,0.7207094646314065,0.7279336179194873,0.011757361567305846
12,0.09597220420837402,0.007957504146091587,0.025563859939575197,0.0032834709662224702,Ridge(),,1,,,0.5,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 0.5, 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 1}",0.25021145465696004,-0.9109035286290597,0.03562375322514011,0.5099380647329017,0.3818525754774036,0.053344463892669156,0.5069990379530421,8,0.5184962156226001,0.48080600393367867,0.5531433443473961,0.45846605213593117,0.5085118150119605,0.5038846862103133,0.0324246832243204
13,0.11433477401733398,0.011832473557014759,0.025241279602050783,0.002746558448405482,Ridge(),,2,,,0.5,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 0.5, 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 2}",-0.030450186148373914,-2045.2367603871032,0.15155134322278718,-30.515458513835995,0.41055943612013035,-415.044111661549,815.1830124059867,45,0.7678430116147297,0.757654187005361,0.7294167907871014,0.7159574380579037,0.7404732447950544,0.74226893445203,0.01871596302347144
14,0.09113178253173829,0.003533740588498769,0.019301557540893556,0.002210429164472543,Ridge(),<ufunc 'sqrt'>,1,,,0.5,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 0.5, 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 1}",0.23664531198547956,-1.0337929273722217,0.04849345468462818,0.5454051188841028,0.3839041714721291,0.03613102593082358,0.5595359393142495,14,0.5211634598080968,0.48348027142275507,0.5521783739154374,0.45663273854018605,0.5089492005427747,0.5044808088458501,0.032569296845610274
15,0.08743586540222167,0.0038687641021640487,0.02262115478515625,0.005469722922278265,Ridge(),<ufunc 'sqrt'>,2,,,0.5,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 0.5, 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 2}",-0.2868284677836448,-1812.0349917209192,-0.22652706132647538,-25.30035316587486,0.3213322860361464,-367.50547362597365,722.3309200367394,38,0.7435430418833688,0.7398645127052184,0.7225728175686361,0.7129606962683601,0.7207086490992938,0.7279299435049754,0.011756930185988362
16,0.09152784347534179,0.005499126243094873,0.023041200637817384,0.0031424749776210884,Ridge(),,1,,,1,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 1, 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 1}",0.2507560011047978,-0.9172866780989692,0.035696337055612815,0.5100569492699436,0.38174376780519625,0.05219327542731624,0.5094768603468877,9,0.5184893782559041,0.4808001444819684,0.553138940635022,0.4584620142486733,0.5085094738481593,0.5038799902939454,0.032424627535439655
17,0.1045499324798584,0.008245691597370574,0.024053287506103516,0.001356284211653174,Ridge(),,2,,,1,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 1, 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 2}",-0.028926640860833963,-2055.738046215287,0.1509367086201998,-30.56033452690223,0.410360053294193,-417.1532021242272,819.3789197318873,46,0.7678290357960951,0.757646143397789,0.7294127495348368,0.7159440857420969,0.7404718851930128,0.7422607799327661,0.018715157169870378
18,0.08926572799682617,0.006311085660392149,0.015950441360473633,0.0025713576416854784,Ridge(),<ufunc 'sqrt'>,1,,,1,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 1, 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 1}",0.237152245365996,-1.0404220636137578,0.04858947843012362,0.5454153201610266,0.3837992820578072,0.03490685248023913,0.5620974139728119,15,0.5211567751442164,0.4834746085465025,0.5521740617200837,0.4566290206767527,0.5089468422161629,0.5044762616607437,0.03256910700153323
19,0.07779922485351562,0.014770057838760344,0.02330489158630371,0.0046906839637632135,Ridge(),<ufunc 'sqrt'>,2,,,1,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 1, 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 2}",-0.28505745813680083,-1823.6801559750593,-0.22718097309136587,-25.262128865937214,0.3210939308992088,-369.82668586826514,726.9922743084408,39,0.7435275830877028,0.7398520583124679,0.7225681030559381,0.7129425933722755,0.7207062810724232,0.7279193237801614,0.01175562770832303
20,0.09331717491149902,0.011782811911848068,0.02254776954650879,0.0019450589898512838,Ridge(),,1,,,2,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 2, 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 1}",0.2517619408875015,-0.9296234638205858,0.03582624599177209,0.5102752361496317,0.38153277293030974,0.04995454642772583,0.5142641673635338,10,0.5184641058042692,0.48077838249456717,0.5531225162609691,0.45844704911115075,0.5085008744591589,0.503862585626023,0.03242440522854053
